id;station
315;Gare de Carpentras
316;Gare de Beslé
317;Gare de Neustadt (Weinstr) Hbf
318;Gare de La Bastide-Saint-Laurent
319;Gare de Dijon-Ville
320;Gare de Volvic
321;Gare de Thionville
322;Gare de Vertaizon
323;Gare de La Chaux-de-Fonds
324;Gare de Bellegarde-s-V. Gare
325;Barenton-sur-Serre
326;Herbitzheim R. Hambach
327;Gare de Le Locle
328;Gare de Belfort-Ville
329;Gare de Valençay
330;Gare de Arras
331;Gare de Lesparre
332;Gare de Bédarieux
333;Mirecourt
334;Longuyon (Collège)
335;Pont-Audemer-Gare-SNCF
336;Gare de Tonnerre
337;Issoire-Lycée-Deville
338;Gare de Cerbère
339;Gare de Albert
340;Gare de Figeac
341;Gare de Paimpol
342;Gare de Arcachon
343;Gare de Chagny
344;Gare de Boën
345;Gare de Dinan
346;Gare de Tours
347;Gare de Baroncourt
348;Gare de Rethel
349;Clelles-Mairie
350;Gare de Aurillac
351;Gare de Angoulême
352;Gare de Avallon
353;Gare de Delémont
354;Gare de Quimperlé
355;Gare de La Brohinière
356;Gare de Ribécourt
357;Vézelise Beauregard
358;Gare de Langon
359;Gare de Gardanne
360;Gare de Chalon-sur-Saône
361;Gare de Rémilly
362;Ville-sous-La-Ferté
363;Gare de Besançon-Mouillère
364;Gare de Thouars
365;Gare de Aix-en-Provence
366;Gare de Moûtiers-Salins-Brides
367;Gare de Trier-Hbf (Trèves)
368;Gare de Sathonay-Rillieux
369;Gare de Villedieu (Gare)
370;Gare de La Verrière
371;Sèlestat-(Schwilgué)
372;Gare de Rives
373;Gare de Marmande
374;Gare de Saint-Junien
375;Gare de Morcenx
376;Gare de Lisieux
377;Gare de Rang du Fl. Verton Ber.
378;Juvancourt
379;Gare de Rouen-Rive-Droite
380;Thann Arrêt La Poste
381;Gare de Sarlat
382;Sewen-(Eglise)
383;Gare de Cambrai Ville
384;Gare de Vernon-Giverny
385;Gare de Cavaillon
386;Gare de Neuilly-lès-Dijon
387;Gare de Vesoul
388;Niedermodern/Uberach
389;Gare de Caen
390;Issoudun-Jardin
391;Gare de Cholet
392;Gare de Abancourt
393;Gare de Plouaret-Trégor
394;Gare de Châteaubriant-TT
395;Lunéville (Cité Scolai)
396;Gare de Guingamp
397;Gare de Carcassonne
398;Gare de Obermodern
399;Gare de Saint-Claude
400;Gare de Argentan
401;Gérardmer La Mauselaine
402;Gare de Saint-Lô
403;Gare de Mouchard
404;Gare de La Rochelle-Ville
405;Châteauroux-L-Giraudoux
406;Gare de Lunéville
407;Gare de Vittel
408;Gare de Monsempron-Libos
409;Gare de Laval
410;Gare de Saint-Brieuc
411;Gare de Les Sables-d'Olonne
412;Bitche-Camp
413;Ambert
414;Gare de Bourges
415;Argentine
416;Gare de Ingwiller
417;Gare de Montchanin
418;Gare de Calais Fréthun
419;Gare de Lamballe
420;Gare de Douai
421;Gare de Esvres
422;Gare de Messac-Guipry
423;Corcieux Le Conti
